Generation	Best	Worst	Average
8	    0.000930	-9999.000000	  -19.998442
9	    0.000930	-9999.000000	   -9.999128
10	    0.000930	   -0.027785	   -0.000202
11	    0.000930	-9999.000000	  -19.998110
12	    0.000930	   -0.029965	   -0.000118
13	    0.000930	   -0.029496	   -0.000036
14	    0.000930	-9999.000000	   -9.999056
15	    0.000930	-9999.000000	   -9.998981
16	    0.000930	   -0.028786	   -0.000011
17	    0.000930	   -0.033274	   -0.000132
18	    0.000930	-9999.000000	   -9.999117
19	    0.000930	   -0.034108	   -0.000087
20	    0.000930	-9999.000000	   -9.998926
21	    0.000930	   -0.030619	   -0.000068
22	    0.000930	-9999.000000	  -19.998016
23	    0.000930	-9999.000000	   -9.998931
24	    0.000930	   -0.035903	    0.000142
25	    0.000930	-9999.000000	   -9.999136
26	    0.000930	   -0.034640	   -0.000258
27	    0.000930	-9999.000000	   -9.999074
28	    0.000930	   -0.033983	    0.000022
29	    0.000930	   -0.031141	    0.000054
30	    0.000930	   -0.031872	    0.000105
31	    0.000930	   -0.032581	   -0.000014
32	    0.000930	   -0.024132	    0.000030
33	    0.000930	   -0.028111	    0.000081
34	    0.000930	   -0.031504	    0.000022
Generation	Best	Worst	Average
0	    0.000454	-9999.000000	  -79.995926
1	    0.000454	-9999.000000	  -89.992552
2	    0.000454	-9999.000000	 -129.988013
3	    0.000454	-9999.000000	 -159.984769
4	    0.000454	-9999.000000	 -139.986458
5	    0.000454	-9999.000000	 -119.988399
6	    0.000454	-9999.000000	   -9.999323
7	    0.000454	   -0.028673	   -0.000238
8	    0.000454	   -0.027151	   -0.000115
9	    0.000454	   -0.030114	   -0.000011
10	    0.000454	-9999.000000	   -9.999148
11	    0.000454	   -0.025442	    0.000051
12	    0.000454	-9999.000000	   -9.999116
13	    0.000454	-9999.000000	   -9.999124
14	    0.000454	   -0.033698	   -0.000496
15	    0.000454	-9999.000000	   -9.999284
16	    0.000454	-9999.000000	   -9.999191
17	    0.000454	   -0.035364	   -0.000028
18	    0.000454	   -0.032487	   -0.000126
19	    0.000454	-9999.000000	   -9.999175
20	    0.000454	   -0.036003	   -0.000174
21	    0.000454	   -0.032055	    0.000006
22	    0.000454	   -0.042095	   -0.000197
23	    0.000454	   -0.033732	    0.000033
24	    0.000454	   -0.031318	    0.000127
25	    0.000454	-9999.000000	   -9.998924
26	    0.000454	-9999.000000	   -9.999183
27	    0.000454	-9999.000000	   -9.998907
28	    0.000454	-9999.000000	   -9.999025
29	    0.000454	   -0.035466	   -0.000039
30	    0.000454	-9999.000000	   -9.999082
31	    0.000454	   -0.033665	    0.000116
32	    0.000454	   -0.033468	   -0.000086
33	    0.000454	   -0.035002	    0.000140
34	    0.000454	   -0.032426	    0.000172
