,config name,data file,mdd,no_of_short_selling_transactions,no_of_transactions,noop,realised_profit,ret,u_buy,u_sell,value,wealth
lowest k data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,lowest k,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0006209143490064062,0.0,42.5,2024.9,0.5449505499156657,0.00010899010998313314,0.0,0.0,-1.5192759818148106e-05,500000.54495054996
lowest k data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,lowest k,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.00024565829529220177,0.0,18.1,2320.9,-0.8603765778418164,-0.00017207531556836332,0.0,0.0,-0.00022120697462680366,499999.1396234222
low k data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,low k,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0007932865062119232,0.0,39.7,2026.6,1.7209912097780034,0.0003441982419556007,0.0,0.0,0.00018554094071321603,500001.7209912098
low k data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,low k,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.00032411556580828893,0.0,29.3,2307.0,-0.8552101157780271,-0.00017104202315560546,0.0,0.0,-0.00023586513631726323,499999.1447898842
medium k data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,medium k,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.000636304612324641,0.0,37.4,2031.8,0.022389777202624826,4.477955440524963e-06,0.0,0.0,-0.00012278296702440325,500000.0223897773
medium k data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,medium k,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.0003056929392971924,0.0,18.9,2320.1,-1.0155847551126498,-0.00020311695102252997,0.0,0.0,-0.0002642555388819685,499998.9844152449
high k data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,high k,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0007356895409510796,0.0,42.5,2026.4,0.20900256867753342,4.180051373550667e-05,0.0,0.0,-0.00010533739445470925,500000.2090025687
high k data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,high k,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.0002444790192704428,0.0,17.3,2326.8,-0.7596797515056096,-0.00015193595030112193,0.0,0.0,-0.00020083175415521042,499999.24032024853
max k data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,max k,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0007130012188641207,0.0,34.3,2034.4,3.463429727754556,0.000692685945550911,0.0,0.0,0.0005500857017780869,500003.4634297277
max k data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,max k,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.00028491905008070197,0.0,23.3,2317.1,-0.9265563465713058,-0.00018531126931426115,0.0,0.0,-0.00024229507933040155,499999.07344365335
lowest velocity convergence threshold data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,lowest velocity convergence threshold,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0008209078431586836,0.0,33.5,2035.2,0.70532225855859,0.000141064451711718,0.0,0.0,-2.3117116920018723e-05,500000.7053222585
lowest velocity convergence threshold data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,lowest velocity convergence threshold,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.00035327677761628817,0.0,17.0,2328.4,-1.017597725096857,-0.00020351954501937145,0.0,0.0,-0.0002741749005426291,499998.98240227497
low velocity convergence threshold data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,low velocity convergence threshold,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0007780722985413965,0.0,43.9,2024.6,0.2550884112366475,5.1017682247329496e-05,0.0,0.0,-0.00010459677746094977,500000.25508841116
low velocity convergence threshold data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,low velocity convergence threshold,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.00032031489293440245,0.0,20.9,2321.9,-1.0174193697050213,-0.00020348387394100424,0.0,0.0,-0.0002675468525278848,499998.9825806303
medium velocity convergence threshold data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,medium velocity convergence threshold,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0006997492550776922,0.0,43.8,2022.7,0.486581349169137,9.73162698338274e-05,0.0,0.0,-4.263358118171107e-05,500000.48658134916
medium velocity convergence threshold data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,medium velocity convergence threshold,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.00034640462096645417,0.0,16.9,2329.2,-1.1550225134706125,-0.00023100450269412245,0.0,0.0,-0.0003002854268874133,499998.84497748653
high velocity convergence threshold data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,high velocity convergence threshold,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0006499495607171776,0.0,46.0,2021.2,0.4499464132473804,8.998928264947609e-05,0.0,0.0,-4.000062949395943e-05,500000.44994641317
high velocity convergence threshold data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,high velocity convergence threshold,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.0002882818964601311,0.0,19.4,2322.6,-0.8485180708288681,-0.00016970361416577363,0.0,0.0,-0.00022735999345779986,499999.1514819291
lowest max iteration data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,lowest max iteration,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0007577060932119153,0.0,43.0,2024.4,0.22778209755779244,4.555641951155849e-05,0.0,0.0,-0.00010598479913082456,500000.2277820975
lowest max iteration data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,lowest max iteration,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.0003151279531480471,0.0,19.1,2321.9,-0.9704579245299101,-0.00019409158490598207,0.0,0.0,-0.00025711717553559145,499999.02954207547
low max iteration data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,low max iteration,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.000787407338069815,0.0,50.9,2016.4,0.5084194392780773,0.00010168388785561548,0.0,0.0,-5.579757975834755e-05,500000.5084194393
low max iteration data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,low max iteration,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.0003186651949409834,0.0,21.0,2318.6,-1.0555588921473826,-0.00021111177842947655,0.0,0.0,-0.0002748448174176732,499998.94444110786
